title,type,genre,year,rating,actors,overview,image_url
Interstellar,Movie,Thriller,2013,8.5,"Nawazuddin Siddiqui, Saif Ali Khan",A thriller story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/91kFYg4fX3L._AC_SL1500_.jpg
Money Heist,Series,Drama,1993,8.8,"Shah Rukh Khan, Deepika Padukone",A drama story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Avatar,Movie,Action,2001,7.6,"Shah Rukh Khan, Deepika Padukone",A action story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/61O1M9d8H7L._AC_SY679_.jpg
Mirzapur,Series,Sci-Fi,1986,6.6,"Robert Downey Jr., Chris Evans",A sci-fi story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Stranger Things,Series,Romance,2006,6.7,"Leonardo DiCaprio, Tom Hardy",A romance story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/81Zt42ioCgL._AC_SY679_.jpg
Titanic,Movie,Thriller,1983,6.8,"Shah Rukh Khan, Deepika Padukone",A thriller story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/51Qvs9i5a%2BL._AC_.jpg
The Godfather,Movie,Thriller,1998,6.0,"Nawazuddin Siddiqui, Saif Ali Khan",A thriller story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
PK,Movie,Fantasy,2005,8.9,"Robert Downey Jr., Chris Evans",A fantasy story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Lagaan,Movie,Crime,1988,9.5,"Nawazuddin Siddiqui, Saif Ali Khan",A crime story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Sacred Games,Series,Drama,2010,7.7,"Shah Rukh Khan, Deepika Padukone",A drama story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/81zU0Fsq6zL._AC_SY679_.jpg
Mirzapur,Series,Romance,2016,8.5,"Leonardo DiCaprio, Tom Hardy",A romance story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Game of Thrones,Series,Drama,1992,6.2,"Shah Rukh Khan, Deepika Padukone",A drama story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gladiator,Movie,Romance,2007,8.0,"Leonardo DiCaprio, Tom Hardy",A romance story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Titanic,Movie,Romance,2017,7.7,"Leonardo DiCaprio, Tom Hardy",A romance story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/51Qvs9i5a%2BL._AC_.jpg
3 Idiots,Movie,Comedy,1997,7.0,"Nawazuddin Siddiqui, Saif Ali Khan",A comedy story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/51K8ouYrHeL._AC_.jpg
The Dark Knight,Movie,Romance,2019,9.4,"Robert Downey Jr., Chris Evans",A romance story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/51EbJjl1fWL._AC_.jpg
The Dark Knight,Movie,Fantasy,1989,7.3,"Robert Downey Jr., Chris Evans",A fantasy story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/51EbJjl1fWL._AC_.jpg
Breaking Bad,Series,Fantasy,2013,7.5,"Shah Rukh Khan, Deepika Padukone",A fantasy story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/51YE6WRz4fL._AC_.jpg
Inception,Movie,Action,2019,7.6,"Leonardo DiCaprio, Tom Hardy",A action story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/51s+Oa0Rr0L._AC_.jpg
The Godfather,Movie,Crime,1991,8.0,"Shah Rukh Khan, Deepika Padukone",A crime story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gully Boy,Movie,Sci-Fi,2025,6.4,"Aamir Khan, Kareena Kapoor",A sci-fi story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Matrix,Movie,Thriller,1986,8.3,"Shah Rukh Khan, Deepika Padukone",A thriller story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gully Boy,Movie,Action,2012,9.0,"Robert Downey Jr., Chris Evans",A action story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Interstellar,Movie,Thriller,2016,9.1,"Leonardo DiCaprio, Tom Hardy",A thriller story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/91kFYg4fX3L._AC_SL1500_.jpg
Forrest Gump,Movie,Crime,2013,6.7,"Robert Downey Jr., Chris Evans",A crime story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Money Heist,Series,Drama,1991,7.7,"Shah Rukh Khan, Deepika Padukone",A drama story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Avatar,Movie,Fantasy,2021,7.2,"Leonardo DiCaprio, Tom Hardy",A fantasy story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/61O1M9d8H7L._AC_SY679_.jpg
The Dark Knight,Movie,Crime,2021,9.3,"Aamir Khan, Kareena Kapoor",A crime story featuring Aamir Khan.,https://m.media-amazon.com/images/I/51EbJjl1fWL._AC_.jpg
Titanic,Movie,Crime,2023,8.3,"Leonardo DiCaprio, Tom Hardy",A crime story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/51Qvs9i5a%2BL._AC_.jpg
The Dark Knight,Movie,Sci-Fi,2005,6.3,"Robert Downey Jr., Chris Evans",A sci-fi story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/51EbJjl1fWL._AC_.jpg
3 Idiots,Movie,Drama,2015,9.1,"Shah Rukh Khan, Deepika Padukone",A drama story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/51K8ouYrHeL._AC_.jpg
Mirzapur,Series,Comedy,2013,9.4,"Nawazuddin Siddiqui, Saif Ali Khan",A comedy story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Breaking Bad,Series,Drama,2010,6.4,"Leonardo DiCaprio, Tom Hardy",A drama story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/51YE6WRz4fL._AC_.jpg
The Godfather,Movie,Fantasy,1990,9.3,"Nawazuddin Siddiqui, Saif Ali Khan",A fantasy story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Taare Zameen Par,Movie,Crime,2000,7.0,"Nawazuddin Siddiqui, Saif Ali Khan",A crime story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Lagaan,Movie,Thriller,2004,7.2,"Leonardo DiCaprio, Tom Hardy",A thriller story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gladiator,Movie,Action,1986,8.8,"Aamir Khan, Kareena Kapoor",A action story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Avatar,Movie,Action,1982,8.3,"Leonardo DiCaprio, Tom Hardy",A action story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/61O1M9d8H7L._AC_SY679_.jpg
Mirzapur,Series,Fantasy,2009,7.2,"Shah Rukh Khan, Deepika Padukone",A fantasy story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Joker,Movie,Comedy,1993,7.6,"Leonardo DiCaprio, Tom Hardy",A comedy story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Breaking Bad,Series,Crime,1991,7.4,"Nawazuddin Siddiqui, Saif Ali Khan",A crime story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/51YE6WRz4fL._AC_.jpg
Dangal,Movie,Action,2022,7.3,"Aamir Khan, Kareena Kapoor",A action story featuring Aamir Khan.,https://m.media-amazon.com/images/I/81tFzBf11xL._AC_SY679_.jpg
Breaking Bad,Series,Crime,1984,8.2,"Aamir Khan, Kareena Kapoor",A crime story featuring Aamir Khan.,https://m.media-amazon.com/images/I/51YE6WRz4fL._AC_.jpg
The Matrix,Movie,Thriller,1980,7.6,"Nawazuddin Siddiqui, Saif Ali Khan",A thriller story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Money Heist,Series,Action,1987,7.5,"Aamir Khan, Kareena Kapoor",A action story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Avatar,Movie,Action,2018,7.7,"Aamir Khan, Kareena Kapoor",A action story featuring Aamir Khan.,https://m.media-amazon.com/images/I/61O1M9d8H7L._AC_SY679_.jpg
Sacred Games,Series,Crime,1997,6.0,"Leonardo DiCaprio, Tom Hardy",A crime story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/81zU0Fsq6zL._AC_SY679_.jpg
Forrest Gump,Movie,Fantasy,2000,8.9,"Leonardo DiCaprio, Tom Hardy",A fantasy story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
PK,Movie,Drama,2019,6.4,"Leonardo DiCaprio, Tom Hardy",A drama story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
3 Idiots,Movie,Romance,1984,6.5,"Nawazuddin Siddiqui, Saif Ali Khan",A romance story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/51K8ouYrHeL._AC_.jpg
Interstellar,Movie,Sci-Fi,2015,9.4,"Nawazuddin Siddiqui, Saif Ali Khan",A sci-fi story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/91kFYg4fX3L._AC_SL1500_.jpg
Inception,Movie,Action,1991,6.8,"Aamir Khan, Kareena Kapoor",A action story featuring Aamir Khan.,https://m.media-amazon.com/images/I/51s+Oa0Rr0L._AC_.jpg
Forrest Gump,Movie,Fantasy,1995,9.1,"Nawazuddin Siddiqui, Saif Ali Khan",A fantasy story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Dangal,Movie,Action,1989,6.9,"Robert Downey Jr., Chris Evans",A action story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/81tFzBf11xL._AC_SY679_.jpg
Taare Zameen Par,Movie,Comedy,2004,7.7,"Aamir Khan, Kareena Kapoor",A comedy story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Stranger Things,Series,Crime,1993,7.6,"Robert Downey Jr., Chris Evans",A crime story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/81Zt42ioCgL._AC_SY679_.jpg
Inception,Movie,Crime,2003,8.4,"Robert Downey Jr., Chris Evans",A crime story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/51s+Oa0Rr0L._AC_.jpg
Avatar,Movie,Romance,2025,7.7,"Nawazuddin Siddiqui, Saif Ali Khan",A romance story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/61O1M9d8H7L._AC_SY679_.jpg
Mirzapur,Series,Romance,1983,8.4,"Shah Rukh Khan, Deepika Padukone",A romance story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Titanic,Movie,Thriller,1981,9.0,"Leonardo DiCaprio, Tom Hardy",A thriller story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/51Qvs9i5a%2BL._AC_.jpg
Gully Boy,Movie,Action,2003,6.4,"Aamir Khan, Kareena Kapoor",A action story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Stranger Things,Series,Action,2014,8.9,"Aamir Khan, Kareena Kapoor",A action story featuring Aamir Khan.,https://m.media-amazon.com/images/I/81Zt42ioCgL._AC_SY679_.jpg
Game of Thrones,Series,Sci-Fi,2023,8.8,"Nawazuddin Siddiqui, Saif Ali Khan",A sci-fi story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Sacred Games,Series,Crime,2002,7.0,"Aamir Khan, Kareena Kapoor",A crime story featuring Aamir Khan.,https://m.media-amazon.com/images/I/81zU0Fsq6zL._AC_SY679_.jpg
Titanic,Movie,Comedy,1980,8.7,"Aamir Khan, Kareena Kapoor",A comedy story featuring Aamir Khan.,https://m.media-amazon.com/images/I/51Qvs9i5a%2BL._AC_.jpg
The Matrix,Movie,Action,1981,9.5,"Nawazuddin Siddiqui, Saif Ali Khan",A action story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Inception,Movie,Thriller,1984,8.8,"Aamir Khan, Kareena Kapoor",A thriller story featuring Aamir Khan.,https://m.media-amazon.com/images/I/51s+Oa0Rr0L._AC_.jpg
Money Heist,Series,Crime,2022,9.1,"Shah Rukh Khan, Deepika Padukone",A crime story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Avatar,Movie,Drama,1994,8.4,"Nawazuddin Siddiqui, Saif Ali Khan",A drama story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/61O1M9d8H7L._AC_SY679_.jpg
Avatar,Movie,Thriller,2007,6.2,"Aamir Khan, Kareena Kapoor",A thriller story featuring Aamir Khan.,https://m.media-amazon.com/images/I/61O1M9d8H7L._AC_SY679_.jpg
3 Idiots,Movie,Action,2025,6.3,"Nawazuddin Siddiqui, Saif Ali Khan",A action story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/51K8ouYrHeL._AC_.jpg
Interstellar,Movie,Crime,2007,8.7,"Robert Downey Jr., Chris Evans",A crime story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/91kFYg4fX3L._AC_SL1500_.jpg
Sacred Games,Series,Drama,1984,9.3,"Aamir Khan, Kareena Kapoor",A drama story featuring Aamir Khan.,https://m.media-amazon.com/images/I/81zU0Fsq6zL._AC_SY679_.jpg
Titanic,Movie,Thriller,2005,6.5,"Aamir Khan, Kareena Kapoor",A thriller story featuring Aamir Khan.,https://m.media-amazon.com/images/I/51Qvs9i5a%2BL._AC_.jpg
Sacred Games,Series,Action,2007,7.5,"Robert Downey Jr., Chris Evans",A action story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/81zU0Fsq6zL._AC_SY679_.jpg
Joker,Movie,Drama,1981,6.4,"Robert Downey Jr., Chris Evans",A drama story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Inception,Movie,Action,2008,8.0,"Aamir Khan, Kareena Kapoor",A action story featuring Aamir Khan.,https://m.media-amazon.com/images/I/51s+Oa0Rr0L._AC_.jpg
Sacred Games,Series,Crime,2017,6.5,"Nawazuddin Siddiqui, Saif Ali Khan",A crime story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/81zU0Fsq6zL._AC_SY679_.jpg
Dangal,Movie,Drama,1996,6.9,"Leonardo DiCaprio, Tom Hardy",A drama story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/81tFzBf11xL._AC_SY679_.jpg
Stranger Things,Series,Sci-Fi,2020,6.4,"Nawazuddin Siddiqui, Saif Ali Khan",A sci-fi story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/81Zt42ioCgL._AC_SY679_.jpg
Stranger Things,Series,Romance,2019,6.3,"Leonardo DiCaprio, Tom Hardy",A romance story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/81Zt42ioCgL._AC_SY679_.jpg
3 Idiots,Movie,Action,1988,8.9,"Robert Downey Jr., Chris Evans",A action story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/51K8ouYrHeL._AC_.jpg
Inception,Movie,Crime,2025,7.4,"Leonardo DiCaprio, Tom Hardy",A crime story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/51s+Oa0Rr0L._AC_.jpg
Avatar,Movie,Action,2011,6.7,"Nawazuddin Siddiqui, Saif Ali Khan",A action story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/61O1M9d8H7L._AC_SY679_.jpg
Dangal,Movie,Comedy,2008,9.0,"Shah Rukh Khan, Deepika Padukone",A comedy story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/81tFzBf11xL._AC_SY679_.jpg
The Matrix,Movie,Romance,2016,6.1,"Robert Downey Jr., Chris Evans",A romance story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Titanic,Movie,Action,1982,7.5,"Nawazuddin Siddiqui, Saif Ali Khan",A action story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/51Qvs9i5a%2BL._AC_.jpg
Sacred Games,Series,Fantasy,1988,8.4,"Nawazuddin Siddiqui, Saif Ali Khan",A fantasy story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/81zU0Fsq6zL._AC_SY679_.jpg
Avatar,Movie,Drama,1981,9.2,"Shah Rukh Khan, Deepika Padukone",A drama story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/61O1M9d8H7L._AC_SY679_.jpg
Stranger Things,Series,Romance,2010,7.2,"Aamir Khan, Kareena Kapoor",A romance story featuring Aamir Khan.,https://m.media-amazon.com/images/I/81Zt42ioCgL._AC_SY679_.jpg
The Matrix,Movie,Drama,2017,8.6,"Shah Rukh Khan, Deepika Padukone",A drama story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Lagaan,Movie,Drama,2008,8.6,"Nawazuddin Siddiqui, Saif Ali Khan",A drama story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Breaking Bad,Series,Thriller,2016,7.7,"Nawazuddin Siddiqui, Saif Ali Khan",A thriller story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/51YE6WRz4fL._AC_.jpg
The Dark Knight,Movie,Crime,2017,7.9,"Robert Downey Jr., Chris Evans",A crime story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/51EbJjl1fWL._AC_.jpg
Gladiator,Movie,Sci-Fi,2012,6.7,"Nawazuddin Siddiqui, Saif Ali Khan",A sci-fi story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
PK,Movie,Action,2004,7.2,"Nawazuddin Siddiqui, Saif Ali Khan",A action story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Stranger Things,Series,Sci-Fi,1986,9.4,"Leonardo DiCaprio, Tom Hardy",A sci-fi story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/81Zt42ioCgL._AC_SY679_.jpg
Forrest Gump,Movie,Thriller,2022,6.7,"Nawazuddin Siddiqui, Saif Ali Khan",A thriller story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Money Heist,Series,Thriller,2008,7.8,"Robert Downey Jr., Chris Evans",A thriller story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gladiator,Movie,Comedy,2009,6.4,"Nawazuddin Siddiqui, Saif Ali Khan",A comedy story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Matrix,Movie,Fantasy,2011,9.0,"Shah Rukh Khan, Deepika Padukone",A fantasy story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Forrest Gump,Movie,Crime,2007,6.4,"Aamir Khan, Kareena Kapoor",A crime story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Matrix,Movie,Romance,2009,6.9,"Robert Downey Jr., Chris Evans",A romance story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Avatar,Movie,Crime,2015,8.1,"Aamir Khan, Kareena Kapoor",A crime story featuring Aamir Khan.,https://m.media-amazon.com/images/I/61O1M9d8H7L._AC_SY679_.jpg
PK,Movie,Action,1997,8.1,"Robert Downey Jr., Chris Evans",A action story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Avatar,Movie,Action,1986,7.2,"Leonardo DiCaprio, Tom Hardy",A action story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/61O1M9d8H7L._AC_SY679_.jpg
Stranger Things,Series,Romance,2015,9.3,"Leonardo DiCaprio, Tom Hardy",A romance story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/81Zt42ioCgL._AC_SY679_.jpg
Game of Thrones,Series,Fantasy,2017,6.2,"Leonardo DiCaprio, Tom Hardy",A fantasy story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
PK,Movie,Thriller,1991,6.4,"Nawazuddin Siddiqui, Saif Ali Khan",A thriller story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Inception,Movie,Drama,2022,6.8,"Aamir Khan, Kareena Kapoor",A drama story featuring Aamir Khan.,https://m.media-amazon.com/images/I/51s+Oa0Rr0L._AC_.jpg
Inception,Movie,Fantasy,1992,7.9,"Aamir Khan, Kareena Kapoor",A fantasy story featuring Aamir Khan.,https://m.media-amazon.com/images/I/51s+Oa0Rr0L._AC_.jpg
PK,Movie,Fantasy,2020,6.9,"Aamir Khan, Kareena Kapoor",A fantasy story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
PK,Movie,Romance,1994,8.4,"Nawazuddin Siddiqui, Saif Ali Khan",A romance story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Dangal,Movie,Romance,1983,7.8,"Robert Downey Jr., Chris Evans",A romance story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/81tFzBf11xL._AC_SY679_.jpg
Interstellar,Movie,Sci-Fi,2000,8.0,"Shah Rukh Khan, Deepika Padukone",A sci-fi story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/91kFYg4fX3L._AC_SL1500_.jpg
Titanic,Movie,Crime,1997,7.5,"Nawazuddin Siddiqui, Saif Ali Khan",A crime story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/51Qvs9i5a%2BL._AC_.jpg
The Godfather,Movie,Sci-Fi,2002,9.2,"Shah Rukh Khan, Deepika Padukone",A sci-fi story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Money Heist,Series,Drama,2007,8.2,"Leonardo DiCaprio, Tom Hardy",A drama story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Stranger Things,Series,Romance,2013,7.1,"Shah Rukh Khan, Deepika Padukone",A romance story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/81Zt42ioCgL._AC_SY679_.jpg
Joker,Movie,Action,1985,9.0,"Robert Downey Jr., Chris Evans",A action story featuring Robert Downey Jr..,https://via.placeholder.com/200x300.png?text=Movie+Poster
Inception,Movie,Drama,1985,6.1,"Shah Rukh Khan, Deepika Padukone",A drama story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/51s+Oa0Rr0L._AC_.jpg
Sacred Games,Series,Fantasy,2013,7.9,"Shah Rukh Khan, Deepika Padukone",A fantasy story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/81zU0Fsq6zL._AC_SY679_.jpg
Lagaan,Movie,Comedy,2023,8.1,"Shah Rukh Khan, Deepika Padukone",A comedy story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gladiator,Movie,Crime,2016,7.8,"Shah Rukh Khan, Deepika Padukone",A crime story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Dark Knight,Movie,Comedy,2018,8.5,"Aamir Khan, Kareena Kapoor",A comedy story featuring Aamir Khan.,https://m.media-amazon.com/images/I/51EbJjl1fWL._AC_.jpg
The Godfather,Movie,Sci-Fi,2023,7.9,"Nawazuddin Siddiqui, Saif Ali Khan",A sci-fi story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
3 Idiots,Movie,Action,2007,8.7,"Shah Rukh Khan, Deepika Padukone",A action story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/51K8ouYrHeL._AC_.jpg
Avatar,Movie,Crime,1998,7.4,"Robert Downey Jr., Chris Evans",A crime story featuring Robert Downey Jr..,https://m.media-amazon.com/images/I/61O1M9d8H7L._AC_SY679_.jpg
Sacred Games,Series,Action,1989,9.4,"Leonardo DiCaprio, Tom Hardy",A action story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/81zU0Fsq6zL._AC_SY679_.jpg
Joker,Movie,Action,1990,7.0,"Leonardo DiCaprio, Tom Hardy",A action story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Stranger Things,Series,Sci-Fi,2009,6.7,"Shah Rukh Khan, Deepika Padukone",A sci-fi story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/81Zt42ioCgL._AC_SY679_.jpg
Dangal,Movie,Action,1982,8.5,"Leonardo DiCaprio, Tom Hardy",A action story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/81tFzBf11xL._AC_SY679_.jpg
Stranger Things,Series,Romance,2004,7.2,"Nawazuddin Siddiqui, Saif Ali Khan",A romance story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/81Zt42ioCgL._AC_SY679_.jpg
Interstellar,Movie,Drama,1984,9.4,"Leonardo DiCaprio, Tom Hardy",A drama story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/91kFYg4fX3L._AC_SL1500_.jpg
The Dark Knight,Movie,Action,2011,7.2,"Shah Rukh Khan, Deepika Padukone",A action story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/51EbJjl1fWL._AC_.jpg
Dangal,Movie,Thriller,2001,9.1,"Shah Rukh Khan, Deepika Padukone",A thriller story featuring Shah Rukh Khan.,https://m.media-amazon.com/images/I/81tFzBf11xL._AC_SY679_.jpg
The Matrix,Movie,Action,1994,9.3,"Nawazuddin Siddiqui, Saif Ali Khan",A action story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Lagaan,Movie,Sci-Fi,2006,7.8,"Aamir Khan, Kareena Kapoor",A sci-fi story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Stranger Things,Series,Comedy,1996,6.0,"Nawazuddin Siddiqui, Saif Ali Khan",A comedy story featuring Nawazuddin Siddiqui.,https://m.media-amazon.com/images/I/81Zt42ioCgL._AC_SY679_.jpg
Lagaan,Movie,Fantasy,2018,7.7,"Leonardo DiCaprio, Tom Hardy",A fantasy story featuring Leonardo DiCaprio.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Joker,Movie,Drama,2010,6.2,"Nawazuddin Siddiqui, Saif Ali Khan",A drama story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Avatar,Movie,Action,1990,7.9,"Aamir Khan, Kareena Kapoor",A action story featuring Aamir Khan.,https://m.media-amazon.com/images/I/61O1M9d8H7L._AC_SY679_.jpg
Mirzapur,Series,Crime,1991,6.7,"Shah Rukh Khan, Deepika Padukone",A crime story featuring Shah Rukh Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Money Heist,Series,Drama,1981,6.2,"Nawazuddin Siddiqui, Saif Ali Khan",A drama story featuring Nawazuddin Siddiqui.,https://via.placeholder.com/200x300.png?text=Movie+Poster
Dangal,Movie,Crime,2006,7.7,"Leonardo DiCaprio, Tom Hardy",A crime story featuring Leonardo DiCaprio.,https://m.media-amazon.com/images/I/81tFzBf11xL._AC_SY679_.jpg
Gully Boy,Movie,Drama,2010,8.1,"Aamir Khan, Kareena Kapoor",A drama story featuring Aamir Khan.,https://via.placeholder.com/200x300.png?text=Movie+Poster
